2025-03-27 13:22:59 - 2025-03-27 13:22:59 - Src: 192.168.100.1, Dst: 192.168.100.221, Protocol: 6
2025-03-27 13:22:59 - 2025-03-27 13:22:59 - Src: 192.168.100.1, Dst: 192.168.100.221, Protocol: 6
2025-03-27 13:22:59 - 2025-03-27 13:22:59 - Src: 192.168.100.221, Dst: 192.168.100.1, Protocol: 6
2025-03-27 13:22:59 - 2025-03-27 13:22:59 - Src: 192.168.100.1, Dst: 192.168.100.221, Protocol: 6
2025-03-27 13:22:59 - 2025-03-27 13:22:59 - Src: 192.168.100.221, Dst: 192.168.100.1, Protocol: 6
2025-03-27 13:22:59 - 2025-03-27 13:22:59 - Src: 192.168.100.221, Dst: 192.168.100.1, Protocol: 6
2025-03-27 13:22:59 - 2025-03-27 13:22:59 - Src: 192.168.100.221, Dst: 3.233.158.26, Protocol: 6
2025-03-27 13:22:59 - 2025-03-27 13:22:59 - Src: 192.168.100.1, Dst: 192.168.100.221, Protocol: 6
2025-03-27 13:22:59 - 2025-03-27 13:22:59 - Src: 192.168.100.221, Dst: 192.168.100.1, Protocol: 6
2025-03-27 13:22:59 - 2025-03-27 13:22:59 - Src: 192.168.100.1, Dst: 192.168.100.221, Protocol: 6
2025-03-27 13:22:59 - 2025-03-27 13:22:59 - Src: 192.168.100.221, Dst: 35.186.224.41, Protocol: 6
2025-03-27 13:22:59 - 2025-03-27 13:22:59 - Src: 35.186.224.41, Dst: 192.168.100.221, Protocol: 6
2025-03-27 13:22:59 - 2025-03-27 13:22:59 - Src: 192.168.100.221, Dst: 3.233.158.26, Protocol: 6
2025-03-27 13:22:59 - 2025-03-27 13:22:59 - Src: 3.233.158.24, Dst: 192.168.100.221, Protocol: 6
2025-03-27 13:22:59 - 2025-03-27 13:22:59 - Src: 3.233.158.26, Dst: 192.168.100.221, Protocol: 6
2025-03-27 13:22:59 - 2025-03-27 13:22:59 - Src: 192.168.100.221, Dst: 3.233.158.26, Protocol: 6
2025-03-27 13:22:59 - 2025-03-27 13:22:59 - Src: 192.168.100.221, Dst: 3.233.158.26, Protocol: 6
2025-03-27 13:22:59 - 2025-03-27 13:22:59 - Src: 35.186.224.26, Dst: 192.168.100.221, Protocol: 17
2025-03-27 13:23:00 - 2025-03-27 13:23:00 - Src: 192.168.100.221, Dst: 35.186.224.26, Protocol: 17
2025-03-27 13:23:00 - 2025-03-27 13:23:00 - Src: 3.233.158.26, Dst: 192.168.100.221, Protocol: 6
2025-03-27 13:23:00 - 2025-03-27 13:23:00 - Src: 192.168.100.221, Dst: 3.233.158.26, Protocol: 6
2025-03-27 13:23:00 - 2025-03-27 13:23:00 - Src: 192.168.100.221, Dst: 3.233.158.26, Protocol: 6
2025-03-27 13:23:00 - 2025-03-27 13:23:00 - Src: 3.233.158.26, Dst: 192.168.100.221, Protocol: 6
2025-03-27 13:23:00 - 2025-03-27 13:23:00 - Src: 3.233.158.26, Dst: 192.168.100.221, Protocol: 6
2025-03-27 13:23:00 - 2025-03-27 13:23:00 - Src: 3.233.158.26, Dst: 192.168.100.221, Protocol: 6
2025-03-27 13:23:00 - 2025-03-27 13:23:00 - Src: 3.233.158.26, Dst: 192.168.100.221, Protocol: 6
2025-03-27 13:23:00 - 2025-03-27 13:23:00 - Src: 192.168.100.221, Dst: 3.233.158.26, Protocol: 6
2025-03-27 13:23:00 - 2025-03-27 13:23:00 - Src: 192.168.100.221, Dst: 3.233.158.26, Protocol: 6
2025-03-27 13:23:00 - 2025-03-27 13:23:00 - Src: 192.168.100.221, Dst: 3.233.158.26, Protocol: 6
2025-03-27 13:23:00 - 2025-03-27 13:23:00 - Src: 192.168.100.221, Dst: 3.233.158.26, Protocol: 6
2025-03-27 13:23:00 - 2025-03-27 13:23:00 - Src: 192.168.100.221, Dst: 3.233.158.26, Protocol: 6
2025-03-27 13:23:00 - 2025-03-27 13:23:00 - Src: 35.186.224.26, Dst: 192.168.100.221, Protocol: 17
2025-03-27 13:23:00 - 2025-03-27 13:23:00 - Src: 3.233.158.26, Dst: 192.168.100.221, Protocol: 6
2025-03-27 13:23:00 - 2025-03-27 13:23:00 - Src: 3.233.158.26, Dst: 192.168.100.221, Protocol: 6
2025-03-27 13:23:00 - 2025-03-27 13:23:00 - Src: 3.233.158.26, Dst: 192.168.100.221, Protocol: 6
2025-03-27 13:23:00 - 2025-03-27 13:23:00 - Src: 3.233.158.26, Dst: 192.168.100.221, Protocol: 6
2025-03-27 13:23:00 - 2025-03-27 13:23:00 - Src: 3.233.158.26, Dst: 192.168.100.221, Protocol: 6
2025-03-27 13:23:00 - 2025-03-27 13:23:00 - Src: 192.168.100.221, Dst: 3.233.158.26, Protocol: 6
2025-03-27 13:23:00 - 2025-03-27 13:23:00 - Src: 192.168.100.221, Dst: 3.233.158.26, Protocol: 6
2025-03-27 13:23:00 - 2025-03-27 13:23:00 - Src: 3.233.158.26, Dst: 192.168.100.221, Protocol: 6
2025-03-27 13:23:00 - 2025-03-27 13:23:00 - Src: 3.233.158.26, Dst: 192.168.100.221, Protocol: 6
2025-03-27 13:23:00 - 2025-03-27 13:23:00 - Src: 192.168.100.221, Dst: 3.233.158.26, Protocol: 6
2025-03-27 13:23:00 - 2025-03-27 13:23:00 - Src: 3.233.158.26, Dst: 192.168.100.221, Protocol: 6
2025-03-27 13:23:00 - 2025-03-27 13:23:00 - Src: 192.168.100.221, Dst: 3.233.158.26, Protocol: 6
2025-03-27 13:23:00 - 2025-03-27 13:23:00 - Src: 192.168.100.221, Dst: 104.18.32.47, Protocol: 6
2025-03-27 13:23:00 - 2025-03-27 13:23:00 - Src: 104.18.32.47, Dst: 192.168.100.221, Protocol: 6
2025-03-27 13:23:00 - 2025-03-27 13:23:00 - Src: 3.233.158.26, Dst: 192.168.100.221, Protocol: 6
2025-03-27 13:23:00 - 2025-03-27 13:23:00 - Src: 3.233.158.26, Dst: 192.168.100.221, Protocol: 6
2025-03-27 13:23:02 - 2025-03-27 13:23:02 - Src: 192.168.100.5, Dst: 192.168.100.255, Protocol: 17
2025-03-27 13:23:02 - 2025-03-27 13:23:02 - Src: 192.168.100.221, Dst: 52.168.117.174, Protocol: 6
2025-03-27 13:23:02 - 2025-03-27 13:23:02 - Src: 52.168.117.174, Dst: 192.168.100.221, Protocol: 6
2025-03-27 13:23:03 - 2025-03-27 13:23:03 - Src: 192.168.100.221, Dst: 35.186.224.24, Protocol: 6
2025-03-27 13:23:03 - 2025-03-27 13:23:03 - Src: 35.186.224.24, Dst: 192.168.100.221, Protocol: 6
2025-03-27 13:23:05 - 2025-03-27 13:23:05 - Src: 192.168.100.5, Dst: 239.255.255.250, Protocol: 17
2025-03-27 13:23:08 - 2025-03-27 13:23:08 - Src: 192.168.100.5, Dst: 192.168.100.255, Protocol: 17
